timestamp,source,url,unique_apis,total_calls
2026-03-13T09:27:08.907Z,ads.pubmatic.com,https://ads.pubmatic.com/AdServer/js/user_sync.html?p=156011&s=165626&predirect=https%3A%2F%2Fs.amaz,29,1355
2026-03-13T09:27:21.229Z,fingerprint.com,https://fingerprint.com/,229,83244
2026-03-13T09:27:23.592Z,fingerprint.com,https://fingerprint.com/,229,84584
2026-03-13T09:27:23.865Z,fingerprint.com,https://fingerprint.com/,229,84587
2026-03-13T09:27:35.851Z,fingerprint.com,https://fingerprint.com/demo/,229,99417
2026-03-13T09:27:37.673Z,fingerprint.com,https://fingerprint.com/demo/,229,99550
2026-03-13T09:27:38.867Z,fingerprint.com,https://fingerprint.com/demo/,229,99573
2026-03-13T09:27:49.872Z,fingerprint.com,https://fingerprint.com/demo/,229,99862
2026-03-13T09:27:53.195Z,fingerprint.com,https://fingerprint.com/demo/,229,99923
2026-03-13T09:27:53.918Z,fingerprint.com,https://fingerprint.com/demo/,229,101613
2026-03-13T09:27:54.554Z,www.google.com,https://www.google.com/search?client=firefox-b-d&q=browserleaks,54,939
2026-03-13T09:28:00.661Z,www.google.com,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fclient%3Dfirefox-b-d%26q,50,16863
2026-03-13T09:28:00.661Z,www.google.com,https://www.google.com/recaptcha/enterprise/anchor?ar=1&k=6LdLLIMbAAAAAIl-KLj9p1ePhM-4LCCDbjtJLqRO&c,34,27057
2026-03-13T09:28:00.661Z,www.google.com,https://www.google.com/recaptcha/enterprise/bframe?hl=en&v=QvLuXwupqtKCyjBw2xIzFLIf&k=6LdLLIMbAAAAAI,43,17243
2026-03-13T09:28:04.626Z,www.google.com,https://www.google.com/search?client=firefox-b-d&q=browserleaks&sei=mdizacKhG-CX5OUPnZneoAU,66,5961
2026-03-13T09:28:04.626Z,accounts.google.com,https://accounts.google.com/RotateCookiesPage?og_pid=1&rot=3&origin=https%3A%2F%2Fwww.google.com&exp,23,42
2026-03-13T09:28:09.939Z,browserleaks.com,https://browserleaks.com/,22,898
2026-03-13T09:28:17.666Z,browserleaks.com,https://browserleaks.com/webrtc,28,914
2026-03-13T09:28:18.416Z,browserleaks.com,https://browserleaks.com/webrtc,28,914
2026-03-13T09:28:24.438Z,browserleaks.com,https://browserleaks.com/webrtc,28,914
2026-03-13T09:28:27.518Z,browserleaks.com,https://browserleaks.com/canvas,24,901
2026-03-13T09:28:30.051Z,browserleaks.com,https://browserleaks.com/canvas,24,901
2026-03-13T09:28:34.233Z,browserleaks.com,https://browserleaks.com/canvas,25,902
2026-03-13T09:28:40.231Z,browserleaks.com,https://browserleaks.com/canvas,26,904
